week,real,rnd
"21.02.2022",437,456.1974551665733
"28.02.2022",614,691.0491031564416
"07.03.2022",593,468.3145004681214
"14.03.2022",382,293.07140960237206
"21.03.2022",409,410.97734342207343
"28.03.2022",369,380.79068145692213
"04.04.2022",207,214.82021567004085
"11.04.2022",251,148.8256879334963
"18.04.2022",355,272.30221621105903
"25.04.2022",313,296.33465997734675
"02.05.2022",354,240.8060380031032
"09.05.2022",296,197.97047390736495
"16.05.2022",344,291.3282659277675
"23.05.2022",341,308.1764521636797
"30.05.2022",281,155.7161747495988
"06.06.2022",244,99.58707692408343
"13.06.2022",227,52.24432944350845
"20.06.2022",323,237.69332747533247
"27.06.2022",276,270.01542454157465
"04.07.2022",312,235.47194223153045
"11.07.2022",200,92.82225668801186
"18.07.2022",276,340.2867440631879
"25.07.2022",129,41.57362624474043
"01.08.2022",181,115.71600155864036
"08.08.2022",210,140.2136934588039
"15.08.2022",252,165.1050575995153
"22.08.2022",210,145.2342140713788
"29.08.2022",429,366.95634721674935
"05.09.2022",440,516.0192626810771
"12.09.2022",364,437.6583910645485
"19.09.2022",496,477.42239797237784
"26.09.2022",655,786.9384402976627
"03.10.2022",673,772.5133336624136
"10.10.2022",609,344.8328270110806
"17.10.2022",621,564.1249027305217
"24.10.2022",788,782.9025651475109
"31.10.2022",801,1170.2720999386129
"07.11.2022",733,973.0417916024657
"14.11.2022",706,1011.1760514551987
"21.11.2022",703,607.4944246961252
"28.11.2022",951,990.114531391782
"05.12.2022",863,1216.2457290861153
"12.12.2022",810,761.5796024775871
"19.12.2022",883,962.8880864750023
"26.12.2022",1023,1240.9664859450108
"02.01.2023",1181,1040.4631493348902
"09.01.2023",1239,760.9976513100422
"16.01.2023",1112,906.548872729899
"23.01.2023",1290,1095.6757681740546
"30.01.2023",1439,1447.3525613405398
"06.02.2023",1389,1569.2485432037413
"13.02.2023",1137,1126.2111585712485
"20.02.2023",1111,1036.5568401677865
"27.02.2023",1161,972.0672538264904
"06.03.2023",1166,1028.8892559044054
"13.03.2023",1128,1174.4504680120788
"20.03.2023",1225,1190.6510376597087
"27.03.2023",866,655.1839403232985
"03.04.2023",754,705.563449037009
"10.04.2023",653,619.7089348417283
"17.04.2023",733,698.9329883708355
"24.04.2023",669,502.3505610972245
"01.05.2023",694,439.873286980562
"08.05.2023",973,722.667757148806
"15.05.2023",766,659.2184474520369
"22.05.2023",531,592.1942775503071
"29.05.2023",707,550.3968964063066
"05.06.2023",826,976.1576965043996
"12.06.2023",857,1040.1828802400867
"19.06.2023",836,952.1856156435041
"26.06.2023",795,998.3822092185917
"03.07.2023",719,789.0288200873392
"10.07.2023",677,566.4829259693443
"17.07.2023",786,611.0526760270033
"24.07.2023",583,841.5510845978727
"31.07.2023",711,851.680788244656
"07.08.2023",601,629.6864242431325
"14.08.2023",636,817.2352291543646
"21.08.2023",705,787.5714639480249
"28.08.2023",695,809.7584352128246
"04.09.2023",672,731.861448279225
"11.09.2023",657,832.4452555302792
"18.09.2023",635,713.5985594658143
"25.09.2023",585,791.5502244694559
"02.10.2023",768,1119.0092354394733
"09.10.2023",1372,1761.0600877559702
"16.10.2023",1328,1571.2434336093409
"23.10.2023",1183,1455.7029753497459
"30.10.2023",1096,1513.2136797462833
"06.11.2023",1106,1281.1068606500858
"13.11.2023",1122,1579.06865819647
"20.11.2023",1059,1294.7448058800624
"27.11.2023",1431,2022.0987658005997
"04.12.2023",1340,1771.9124383437982
"11.12.2023",1393,1860.0675565509005
"18.12.2023",1377,1805.5597817494668
"25.12.2023",1203,1454.5086367582692
"01.01.2024",983,1180.857196610873
"08.01.2024",1065,1290.0664086274915
"15.01.2024",1328,1596.9378489292403
"22.01.2024",1312,1699.7483924102326
"29.01.2024",1098,1356.1517205999226
"05.02.2024",1271,1512.2979838115702
"12.02.2024",1527,1765.6594826723533
"19.02.2024",1809,2184.7272779765335
"26.02.2024",1652,1965.089287808772
"04.03.2024",1486,1731.2137822184932
"11.03.2024",1402,1711.962466521224
"18.03.2024",1432,1766.55713680385
"25.03.2024",1148,1274.1744976517243
"01.04.2024",1358,1649.7478435011838
"08.04.2024",1402,1699.0595021994727
"15.04.2024",1379,1675.7938717628376
"22.04.2024",1436,1839.5487476905178
"29.04.2024",1594,2205.354775819901
"06.05.2024",1738,2239.545968344758
"13.05.2024",1770,2193.5156453394297
"20.05.2024",1795,2395.2305367256613
"27.05.2024",1643,2170.4907196730746
"03.06.2024",1554,1996.8716301440543
"10.06.2024",1431,1923.7312867759274
"17.06.2024",1711,2208.5524634215953
"24.06.2024",1727,2262.152163216528
"01.07.2024",1829,2425.8403971482458
"08.07.2024",1746,2367.6430113766683
"15.07.2024",1845,2382.7809319529874
"22.07.2024",1931,2550.801461995431
"29.07.2024",1819,2346.1022841729105
"05.08.2024",2201,2909.628757388208
"12.08.2024",2202,3014.1635002987437
"19.08.2024",2017,2888.073433796031
"26.08.2024",2102,2921.4444137749524
"02.09.2024",1885,2755.652451456558
"09.09.2024",1958,2795.9436528486567
"16.09.2024",2122,3107.5608575572082
"23.09.2024",2253,3346.4748131702436
"30.09.2024",2085,3000.16218488139
"07.10.2024",2023,3065.5779877974937
"14.10.2024",2206,3298.7602007650808
"21.10.2024",2201,3295.7024397266055
"28.10.2024",2113,3000.4241929930968
"04.11.2024",2097,2898.898089890964
"11.11.2024",2389,3573.5409356980745
"18.11.2024",2226,3208.385713510326
"25.11.2024",2714,4312.6544442260465
"02.12.2024",2377,3729.576369484531
"09.12.2024",2088,3336.0364432430515
"16.12.2024",2283,3934.2872589324597
"23.12.2024",2246,4308.866522462269
"30.12.2024",1939,3526.271852183966
"06.01.2025",1924,3653.8471592924025
"13.01.2025",1910,3852.458637912809
"20.01.2025",1965,3815.7852656141
"27.01.2025",1884,3555.8201622286515
"03.02.2025",1445,2880.384917008193
"10.02.2025",1631,3254.7489084086656
"17.02.2025",1627,2989.375140790563
"24.02.2025",1736,3022.984673441779
"03.03.2025",1482,3075.9109444152696
"10.03.2025",1663,3562.025372733381
"17.03.2025",1617,3623.880465741398
"24.03.2025",1599,3828.641724272226
"31.03.2025",1571,3745.236773421749
"07.04.2025",1504,3454.0573142545777
"14.04.2025",1400,3406.4412398462223
"21.04.2025",1344,3499.3061353693606
"28.04.2025",1333,3687.536761689022
"05.05.2025",1456,3909.631589390211
"12.05.2025",1275,3430.302968901115
"19.05.2025",1180,3293.1314640228898
"26.05.2025",1115,2918.2630592587766
"02.06.2025",954,3027.5000166821255
"09.06.2025",902,2752.3517904812916
"16.06.2025",863,2635.106217063244
"23.06.2025",793,2470.368721215494
"30.06.2025",1013,2969.012922149364
"07.07.2025",865,2723.6966513147727
"14.07.2025",872,2900.6193405412396
"21.07.2025",804,2505.4220805169557
"28.07.2025",740,2613.2418741563215
"04.08.2025",750,2490.765206396007
"11.08.2025",619,2465.637533561558
"18.08.2025",680,2349.6905276720963
"25.08.2025",731,2108.888487650933
"01.09.2025",684,2053.772219761524
"08.09.2025",616,1983.7298587157914
"15.09.2025",668,2021.9503860306638
"22.09.2025",772,1982.0517138759549
"29.09.2025",613,1889.8911848081732
"06.10.2025",615,2080.017219172434
"13.10.2025",633,2255.9834692455465
"20.10.2025",556,2318.687169779423
"27.10.2025",552,2539.29739318139
"03.11.2025",529,2355.771409135664
"10.11.2025",399,2195.1656545924125
"17.11.2025",465,2129.6451331477265
"24.11.2025",444,2103.772094026357
"01.12.2025",471,2376.3171457581216
"08.12.2025",493,2479.3067746738225
"15.12.2025",472,2935.9614321206896
"22.12.2025",427,3376.397319705413